Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 16
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (544, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  38  Time:  19.403  Rel. Train L2 Loss :  0.03972287205606699  Rel. Test L2 Loss :  {'Default': 0.04308265413343906, 'Two Circles': 0.2005380791425705}  Test L2 Loss :  {'Default': 0.1689953659772873, 'Two Circles': 1.5242253813743591}  inv_L_scale:  [1.0, 1.0]
Epoch :  39  Time:  19.398  Rel. Train L2 Loss :  0.03942781563103199  Rel. Test L2 Loss :  {'Default': 0.043333913981914524, 'Two Circles': 0.20576537877321244}  Test L2 Loss :  {'Default': 0.1713984661102295, 'Two Circles': 1.56989786195755}  inv_L_scale:  [1.0, 1.0]
Epoch :  40  Time:  19.384  Rel. Train L2 Loss :  0.03992682433314621  Rel. Test L2 Loss :  {'Default': 0.044166561007499695, 'Two Circles': 0.21515305888652803}  Test L2 Loss :  {'Default': 0.18019802767038345, 'Two Circles': 1.6457329440116881}  inv_L_scale:  [1.0, 1.0]
Epoch :  41  Time:  19.381  Rel. Train L2 Loss :  0.03878051084652543  Rel. Test L2 Loss :  {'Default': 0.0422596665173769, 'Two Circles': 0.20524211633205414}  Test L2 Loss :  {'Default': 0.17204357689619065, 'Two Circles': 1.5644078397750854}  inv_L_scale:  [1.0, 1.0]
Epoch :  42  Time:  19.385  Rel. Train L2 Loss :  0.03753436830639839  Rel. Test L2 Loss :  {'Default': 0.04186173421144485, 'Two Circles': 0.21359738993644714}  Test L2 Loss :  {'Default': 0.17570624095201492, 'Two Circles': 1.6321267647743225}  inv_L_scale:  [1.0, 1.0]
Epoch :  43  Time:  19.36  Rel. Train L2 Loss :  0.03802833610959351  Rel. Test L2 Loss :  {'Default': 0.04610944046080113, 'Two Circles': 0.20372462606430053}  Test L2 Loss :  {'Default': 0.1820230547785759, 'Two Circles': 1.555056200027466}  inv_L_scale:  [1.0, 1.0]
Epoch :  44  Time:  19.353  Rel. Train L2 Loss :  0.03811866139248014  Rel. Test L2 Loss :  {'Default': 0.04094595551490784, 'Two Circles': 0.19063029563426973}  Test L2 Loss :  {'Default': 0.16006014567613602, 'Two Circles': 1.441640657901764}  inv_L_scale:  [1.0, 1.0]
Epoch :  45  Time:  19.359  Rel. Train L2 Loss :  0.03749796183034777  Rel. Test L2 Loss :  {'Default': 0.03904401682317257, 'Two Circles': 0.20722186732292175}  Test L2 Loss :  {'Default': 0.15185389798879623, 'Two Circles': 1.56904874420166}  inv_L_scale:  [1.0, 1.0]
Epoch :  46  Time:  19.324  Rel. Train L2 Loss :  0.038042349414899944  Rel. Test L2 Loss :  {'Default': 0.03714207373559475, 'Two Circles': 0.18560282969474792}  Test L2 Loss :  {'Default': 0.14450255119800567, 'Two Circles': 1.4022455892562866}  inv_L_scale:  [1.0, 1.0]
Epoch :  47  Time:  19.341  Rel. Train L2 Loss :  0.037922199783846734  Rel. Test L2 Loss :  {'Default': 0.04473504835367203, 'Two Circles': 0.19780328327417374}  Test L2 Loss :  {'Default': 0.17574250650405884, 'Two Circles': 1.5028564624786378}  inv_L_scale:  [1.0, 1.0]
