data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
rank:[32, 32, 32, 32]
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 82  rel.train: 0.04655266016721726  rel.test: 0.053547651767730714  abs.test: 0.044217563569545745  time: 3.137143850326538
ep: 83  rel.train: 0.046296331167221066  rel.test: 0.04490215241909027  abs.test: 0.03710120886564255  time: 3.1355676651000977
ep: 84  rel.train: 0.04784927213191986  rel.test: 0.05026506066322327  abs.test: 0.04152692914009094  time: 3.1355340480804443
ep: 85  rel.train: 0.04650209563970566  rel.test: 0.04250162720680237  abs.test: 0.03510726571083069  time: 3.1376333236694336
ep: 86  rel.train: 0.04454029589891434  rel.test: 0.04336198776960373  abs.test: 0.03580490738153458  time: 3.137220621109009
ep: 87  rel.train: 0.04947171753644943  rel.test: 0.04620025724172592  abs.test: 0.0381765079498291  time: 3.1384403705596924
ep: 88  rel.train: 0.04486123138666153  rel.test: 0.045168778896331786  abs.test: 0.03732061058282852  time: 3.140254259109497
ep: 89  rel.train: 0.046646251738071444  rel.test: 0.06506225407123566  abs.test: 0.053719043135643005  time: 3.141036033630371
ep: 90  rel.train: 0.04870280677080154  rel.test: 0.04182094186544418  abs.test: 0.0345438289642334  time: 3.1418190002441406
ep: 91  rel.train: 0.046404171168804166  rel.test: 0.0494400030374527  abs.test: 0.04083067029714584  time: 3.1422016620635986
ep: 92  rel.train: 0.04421942126750946  rel.test: 0.043467721343040465  abs.test: 0.035906418561935424  time: 3.1441657543182373
ep: 93  rel.train: 0.04533162146806717  rel.test: 0.0645914214849472  abs.test: 0.05341412127017975  time: 3.1502177715301514
ep: 94  rel.train: 0.048339730024337765  rel.test: 0.042577081322669984  abs.test: 0.03517079532146454  time: 3.1461620330810547
ep: 95  rel.train: 0.04421664249897003  rel.test: 0.0448901978135109  abs.test: 0.037076274156570437  time: 3.147968053817749
ep: 96  rel.train: 0.04880359846353531  rel.test: 0.04450690895318985  abs.test: 0.03676235795021057  time: 3.1473920345306396
ep: 97  rel.train: 0.04659957420825958  rel.test: 0.05079146146774292  abs.test: 0.04195802241563797  time: 3.148367166519165
ep: 98  rel.train: 0.046439298808574676  rel.test: 0.04464589685201645  abs.test: 0.0368758487701416  time: 3.148411750793457
ep: 99  rel.train: 0.047908106565475464  rel.test: 0.04318659424781799  abs.test: 0.03569003254175186  time: 3.1492316722869873
ep: 100  rel.train: 0.0456115288734436  rel.test: 0.05067705452442169  abs.test: 0.041862454116344455  time: 3.147726535797119
ep: 101  rel.train: 0.04626308172941208  rel.test: 0.04816517323255539  abs.test: 0.03979052156209946  time: 3.1473336219787598
ep: 102  rel.train: 0.046923737525939944  rel.test: 0.04295223474502564  abs.test: 0.03547939509153366  time: 3.1476502418518066
ep: 103  rel.train: 0.04524903136491776  rel.test: 0.04891553163528442  abs.test: 0.040404017567634586  time: 3.147972822189331
ep: 104  rel.train: 0.04422744852304459  rel.test: 0.04261469423770905  abs.test: 0.03521434783935547  time: 3.147886037826538
ep: 105  rel.train: 0.04586282193660736  rel.test: 0.05000266313552856  abs.test: 0.04127291977405548  time: 3.151639461517334
ep: 106  rel.train: 0.044132458746433255  rel.test: 0.04291646391153336  abs.test: 0.03546043634414673  time: 3.146343231201172
ep: 107  rel.train: 0.04349326395988464  rel.test: 0.05326404273509979  abs.test: 0.0439876264333725  time: 3.1470892429351807
